Type,name,Score,Metric
Top,,,age
Top,Łukasz Fabiański,38.0,age
Top,Thiago Silva,38.0,age
Top,Ashley Young,38.0,age
,,,
Bottom,,,age
Bottom,Leon Chiwome,17.0,age
Bottom,Lewis Miley,17.0,age
Bottom,Facundo Buonanotte,18.0,age
,,,
Top,,,matches_played
Top,Joachim Andersen,38.0,matches_played
Top,Moussa Diaby,38.0,matches_played
Top,Vitaly Janelt,38.0,matches_played
,,,
Bottom,,,matches_played
Bottom,Alex Iwobi,2.0,matches_played
Bottom,Neal Maupay,2.0,matches_played
Bottom,Matheus Nunes,2.0,matches_played
,,,
Top,,,starts
Top,Joachim Andersen,38.0,starts
Top,Thomas Kaminski,38.0,starts
Top,Max Kilman,38.0,starts
,,,
Bottom,,,starts
Bottom,Naouirou Ahamada,0.0,starts
Bottom,Kieffer Moore,0.0,starts
Bottom,David Ozoh,0.0,starts
,,,
Top,,,minutes
Top,Max Kilman,3420.0,minutes
Top,Bernd Leno,3420.0,minutes
Top,André Onana,3420.0,minutes
,,,
Bottom,,,minutes
Bottom,John Fleck,92.0,minutes
Bottom,Kalvin Phillips,93.0,minutes
Bottom,Ivan Perišić,103.0,minutes
,,,
Top,,,non_penalty_goals
Top,Erling Haaland,20.0,non_penalty_goals
Top,Phil Foden,19.0,non_penalty_goals
Top,Ollie Watkins,19.0,non_penalty_goals
,,,
Bottom,,,non_penalty_goals
Bottom,Max Aarons,0.0,non_penalty_goals
Bottom,Tyler Adams,0.0,non_penalty_goals
Bottom,Naouirou Ahamada,0.0,non_penalty_goals
,,,
Top,,,penalty_goals
Top,Cole Palmer,9.0,penalty_goals
Top,Erling Haaland,7.0,penalty_goals
Top,Bukayo Saka,6.0,penalty_goals
,,,
Bottom,,,penalty_goals
Bottom,Max Aarons,0.0,penalty_goals
Bottom,Tyler Adams,0.0,penalty_goals
Bottom,Tosin Adarabioyo,0.0,penalty_goals
,,,
Top,,,assists
Top,Ollie Watkins,13.0,assists
Top,Cole Palmer,11.0,assists
Top,Kevin De Bruyne,10.0,assists
,,,
Bottom,,,assists
Bottom,Tyler Adams,0.0,assists
Bottom,Tosin Adarabioyo,0.0,assists
Bottom,Elijah Adebayo,0.0,assists
,,,
Top,,,yellow_cards
Top,João Palhinha,13.0,yellow_cards
Top,Marcos Senesi,13.0,yellow_cards
Top,Anthony Gordon,12.0,yellow_cards
,,,
Bottom,,,yellow_cards
Bottom,Tyler Adams,0.0,yellow_cards
Bottom,Nathan Aké,0.0,yellow_cards
Bottom,Amari'i Bell,0.0,yellow_cards
,,,
Top,,,red_cards
Top,Yves Bissouma,2.0,red_cards
Top,Reece James,2.0,red_cards
Top,Oliver McBurnie,2.0,red_cards
,,,
Bottom,,,red_cards
Bottom,Max Aarons,0.0,red_cards
Bottom,Tyler Adams,0.0,red_cards
Bottom,Tosin Adarabioyo,0.0,red_cards
,,,
Top,,,xG
Top,Erling Haaland,29.2,xG
Top,Mohamed Salah,21.2,xG
Top,Alexander Isak,20.3,xG
,,,
Bottom,,,xG
Bottom,Max Aarons,0.0,xG
Bottom,Tyler Adams,0.0,xG
Bottom,Alisson,0.0,xG
,,,
Top,,,npxG
Top,Erling Haaland,22.9,npxG
Top,Nicolas Jackson,18.6,npxG
Top,Dominic Solanke,17.2,npxG
,,,
Bottom,,,npxG
Bottom,Max Aarons,0.0,npxG
Bottom,Tyler Adams,0.0,npxG
Bottom,Alisson,0.0,npxG
,,,
Top,,,xAG
Top,Bruno Fernandes,11.8,xAG
Top,Son Heung-min,11.8,xAG
Top,Mohamed Salah,11.8,xAG
,,,
Bottom,,,xAG
Bottom,Naouirou Ahamada,0.0,xAG
Bottom,Alisson,0.0,xAG
Bottom,Mads Juel Andersen,0.0,xAG
,,,
Top,,,PrgC
Top,Jeremy Doku,218.0,PrgC
Top,Alejandro Garnacho,178.0,PrgC
Top,Bukayo Saka,155.0,PrgC
,,,
Bottom,,,PrgC
Bottom,Alisson,0.0,PrgC
Bottom,Mads Juel Andersen,0.0,PrgC
Bottom,Alphonse Areola,0.0,PrgC
,,,
Top,,,PrgP
Top,Rodri,376.0,PrgP
Top,Martin Ødegaard,344.0,PrgP
Top,Pascal Groß,302.0,PrgP
,,,
Bottom,,,PrgP
Bottom,Daniel Bentley,0.0,PrgP
Bottom,Martin Dúbravka,0.0,PrgP
Bottom,Wes Foderingham,0.0,PrgP
,,,
Top,,,PrgR
Top,Bukayo Saka,508.0,PrgR
Top,Dejan Kulusevski,388.0,PrgR
Top,Gabriel Martinelli,345.0,PrgR
,,,
Bottom,,,PrgR
Bottom,Alisson,0.0,PrgR
Bottom,Alphonse Areola,0.0,PrgR
Bottom,Daniel Bentley,0.0,PrgR
,,,
Top,,,Per_90_Gls
Top,Sasa Kalajdzic,1.08,Per_90_Gls
Top,Jhon Durán,0.95,Per_90_Gls
Top,Erling Haaland,0.95,Per_90_Gls
,,,
Bottom,,,Per_90_Gls
Bottom,Max Aarons,0.0,Per_90_Gls
Bottom,Tyler Adams,0.0,Per_90_Gls
Bottom,Naouirou Ahamada,0.0,Per_90_Gls
,,,
Top,,,Per_90_Ast
Top,Manor Solomon,0.9,Per_90_Ast
Top,Ivan Perišić,0.87,Per_90_Ast
Top,Kevin De Bruyne,0.74,Per_90_Ast
,,,
Bottom,,,Per_90_Ast
Bottom,Tyler Adams,0.0,Per_90_Ast
Bottom,Tosin Adarabioyo,0.0,Per_90_Ast
Bottom,Elijah Adebayo,0.0,Per_90_Ast
,,,
Top,,,Per_90_G+A
Top,Adama Traoré,1.19,Per_90_G+A
Top,Cole Palmer,1.14,Per_90_G+A
Top,Erling Haaland,1.13,Per_90_G+A
,,,
Bottom,,,Per_90_G+A
Bottom,Tyler Adams,0.0,Per_90_G+A
Bottom,Naouirou Ahamada,0.0,Per_90_G+A
Bottom,Alisson,0.0,Per_90_G+A
,,,
Top,,,Per_90_G-PK
Top,Sasa Kalajdzic,1.08,Per_90_G-PK
Top,Jhon Durán,0.95,Per_90_G-PK
Top,Kieffer Moore,0.83,Per_90_G-PK
,,,
Bottom,,,Per_90_G-PK
Bottom,Max Aarons,0.0,Per_90_G-PK
Bottom,Tyler Adams,0.0,Per_90_G-PK
Bottom,Naouirou Ahamada,0.0,Per_90_G-PK
,,,
Top,,,Per_90_G+A-PK
Top,Adama Traoré,1.19,Per_90_G+A-PK
Top,Enes Ünal,1.1,Per_90_G+A-PK
Top,Sasa Kalajdzic,1.08,Per_90_G+A-PK
,,,
Bottom,,,Per_90_G+A-PK
Bottom,Tyler Adams,0.0,Per_90_G+A-PK
Bottom,Naouirou Ahamada,0.0,Per_90_G+A-PK
Bottom,Alisson,0.0,Per_90_G+A-PK
,,,
